"protein";"AVG_normal";"AVG_stimulated";"percent_difference";"normal_mouse_3422";"normal_mouse_3423";"normal_mouse_3488";"normal_mouse_3489";"normal_mouse_3490"
"DYRK1A_N";0.276907;0.388821;33.6216;0.296418;0.288582;0.27477;0.245971;0.278795
"ITSN1_N";0.464995;0.594368;24.4246;0.442318;0.515075;0.43409;0.454525;0.478969
"BDNF_N";0.316757;0.326468;3.01937;0.314494;0.349915;0.291439;0.311552;0.316384
"NR1_N";2.50229;2.40381;-4.01487;2.36805;2.80304;2.30535;2.57722;2.45781
"NR2A_N";3.99327;4.15544;3.98029;3.70879;4.8998;3.2716;3.94867;4.13749
"pAKT_N";0.237634;0.195357;-19.5279;0.244017;0.274604;0.192869;0.249884;0.226793
"pBRAF_N";0.187094;0.159381;-15.9974;0.185704;0.210278;0.162188;0.193739;0.183564
"pCAMKII_N";3.23144;2.61518;-21.081;3.58858;3.75537;2.88873;2.73189;3.19264
"pCREB_N";0.221965;0.19177;-14.5962;0.196079;0.244395;0.20898;0.237437;0.222933
"pELK_N";1.496;1.29017;-14.775;1.32911;1.29931;1.93647;1.6743;1.24082
"pERK_N";0.329234;0.570379;53.6109;0.332877;0.350805;0.318249;0.307212;0.337027
"pJNK_N";0.314394;0.278697;-12.0375;0.311972;0.359616;0.265413;0.340929;0.294039
"PKCA_N";0.288324;0.340429;16.5738;0.318796;0.310576;0.255376;0.281816;0.275058
"pMEK_N";0.281416;0.235513;-17.7599;0.281284;0.316031;0.234009;0.305155;0.270602
"pNR1_N";0.896086;0.865513;-3.47103;0.871255;0.972646;0.834099;0.902846;0.899585
"pNR2A_N";0.802011;0.689587;-15.0743;0.792431;0.945006;0.762518;0.767942;0.742159
"pNR2B_N";1.70246;1.61895;-5.02854;1.63273;1.91296;1.59738;1.69519;1.67403
"pPKCAB_N";1.19128;2.0032;50.8327;1.28418;1.29784;1.00912;1.19564;1.16962
"pRSK_N";0.424918;0.429557;1.0859;0.419441;0.445262;0.380798;0.444087;0.435001
"AKT_N";0.817059;0.643079;-23.8306;0.824963;0.874651;0.763571;0.798927;0.823182
"BRAF_N";0.273946;0.320616;15.6991;0.270335;0.2953;0.24625;0.298545;0.259299
"CAMKII_N";0.3819;0.335323;-12.9884;0.385015;0.421246;0.355179;0.393858;0.354204
"CREB_N";0.175076;0.161795;-7.88464;0.181561;0.195452;0.152256;0.178348;0.167762
"ELK_N";1.28455;1.27535;-0.718956;1.12296;1.36048;1.25387;1.18318;1.50226
"ERK_N";2.48319;2.87204;14.5222;2.07866;2.84178;2.04219;2.69628;2.75705
"GSK3B_N";1.04067;1.26367;19.3554;0.982971;1.16759;0.887312;1.10613;1.05934
"JNK_N";0.242407;0.227801;-6.21274;0.234675;0.271925;0.211904;0.254116;0.239417
"MEK_N";0.277102;0.262806;-5.29597;0.260207;0.308372;0.23113;0.295122;0.290681
"TRKA_N";0.693321;0.686929;-0.926236;0.616811;0.822902;0.580471;0.762289;0.684131
"RSK_N";0.174814;0.15061;-14.8751;0.16637;0.196386;0.148244;0.202626;0.160443
"APP_N";0.362697;0.370857;2.22464;0.388507;0.3821;0.351846;0.347429;0.343603
"Bcatenin_N";2.32248;2.18129;-6.26971;1.9897;2.63987;2.11052;2.49584;2.37644
"SOD1_N";0.917957;0.298472;-101.853;0.840774;0.885774;1.0666;1.0012;0.79543
"MTOR_N";0.490922;0.436138;-11.8188;0.578965;0.503789;0.497581;0.452984;0.42129
"P38_N";0.470423;0.361078;-26.3005;0.593799;0.436939;0.514958;0.406016;0.4004
"pMTOR_N";0.811348;0.724292;-11.3382;0.922086;0.861665;0.754862;0.779317;0.738812
"DSCR1_N";0.562845;0.536143;-4.85947;0.630729;0.566533;0.544338;0.561682;0.510944
"AMPKA_N";0.380206;0.388027;2.03599;0.42783;0.397804;0.368022;0.361306;0.34607
"NR2B_N";0.609504;0.540941;-11.9194;0.682278;0.648973;0.608561;0.556901;0.550806
"pNUMB_N";0.29012;0.39291;30.0984;0.322326;0.301934;0.277917;0.278249;0.270172
"RAPTOR_N";0.30912;0.304672;-1.4494;0.364636;0.318909;0.300271;0.291256;0.270528
"TIAM1_N";0.397135;0.415178;4.4424;0.454118;0.411378;0.388217;0.368782;0.363182
"pP70S6_N";0.370519;0.297185;-21.966;0.503682;0.355958;0.37431;0.354447;0.264196
"NUMB_N";0.172342;0.204726;17.1766;0.151804;0.196516;0.163235;0.167446;0.18271
"P70S6_N";0.915511;0.991128;7.93193;0.771152;0.941014;0.876889;0.948516;1.03998
"pGSK3B_N";0.144939;0.177931;20.4366;0.140788;0.153951;0.135926;0.143011;0.151022
"pPKCG_N";1.27641;1.67796;27.1836;1.41362;1.46075;1.04284;1.26578;1.19904
"CDK5_N";0.271424;0.318668;16.0124;0.246641;0.303118;0.242964;0.273693;0.290702
"S6_N";0.297581;0.443723;39.4284;0.24279;0.305587;0.29249;0.304147;0.342891
"ADARB1_N";1.12118;1.38837;21.2945;1.26121;1.48081;0.995827;0.924743;0.94329
"AcetylH3K9_N";0.0997823;0.15035;40.4325;0.1364;0.0678847;0.115026;0.0635139;0.116087
"RRP1_N";0.155551;0.165981;6.4878;0.156419;0.151325;0.148488;0.139181;0.18234
"BAX_N";0.176412;0.191661;8.28581;0.171493;0.183408;0.161748;0.167504;0.197909
"ARC_N";0.131636;0.114075;-14.2938;0.135844;0.137074;0.126123;0.125648;0.133491
"ERBB4_N";0.157366;0.151881;-3.54717;0.154344;0.166321;0.15275;0.153652;0.159763
"nNOS_N";0.195949;0.170478;-13.9022;0.193153;0.215161;0.174366;0.19262;0.204442
"Tau_N";0.165954;0.167188;0.741231;0.172044;0.169048;0.174933;0.141672;0.172071
"GFAP_N";0.110511;0.125034;12.3308;0.118958;0.108668;0.109206;0.10182;0.113905
"GluR3_N";0.218386;0.243823;11.007;0.219222;0.219279;0.242888;0.198945;0.211594
"GluR4_N";0.115139;0.133552;14.8077;0.119876;0.119566;0.118069;0.101646;0.116539
"IL1B_N";0.570333;0.473778;-18.4951;0.585439;0.556458;0.573431;0.504541;0.631796
"P3525_N";0.282909;0.28958;2.33044;0.299322;0.29644;0.272034;0.264136;0.282613
"pCASP9_N";1.51867;1.68614;10.4513;1.49158;1.72062;1.31382;1.48822;1.57912
"PSD95_N";2.33476;2.1101;-10.1088;2.10634;2.55825;2.21752;2.46207;2.32962
"SNCA_N";0.171129;0.145868;-15.9377;0.194328;0.166487;0.174095;0.156298;0.164439
"Ubiquitin_N";1.267;1.07818;-16.1033;1.28432;1.35837;1.11978;1.27537;1.29717
"pGSK3B_Tyr216_N";0.788112;0.862718;9.03858;0.780313;0.817247;0.731705;0.784243;0.827053
"SHH_N";0.234657;0.213971;-9.22194;0.253104;0.216074;0.261865;0.203819;0.238421
"BAD_N";0.148608;0.144133;-3.05766;0.161122;0.144322;0.146609;0.13443;0.156558
"BCL2_N";0.130788;0.126276;-3.5098;0.144376;0.126969;0.130472;0.115273;0.136848
"pS6_N";0.131636;0.114075;-14.2938;0.135844;0.137074;0.126123;0.125648;0.133491
"pCFOS_N";0.131207;0.133084;1.42063;0.150697;0.111568;0.140532;0.108813;0.144426
"SYP_N";0.465066;0.46766;0.556254;0.381256;0.529302;0.405849;0.484481;0.524443
"H3AcK18_N";0.136921;0.137791;0.633625;0.155078;0.120786;0.137997;0.116326;0.154417
"EGR1_N";0.187267;0.1674;-11.2031;0.218349;0.172006;0.197695;0.159569;0.188717
"H3MeK4_N";0.199548;0.169657;-16.192;0.193065;0.19708;0.1846;0.193552;0.229443
"CaNA_N";1.16384;1.68391;36.5247;0.942573;1.31493;0.919659;1.2871;1.35494
