"protein";"AVG_normal";"AVG_stimulated";"percent_difference";"normal_mouse_3422";"normal_mouse_3423";"normal_mouse_3488";"normal_mouse_3489";"normal_mouse_3490";"Difference_3422";"Difference_3423";"Difference_3488";"Difference_3489";"Difference_3490"
"DYRK1A_N";0.276907;0.388821;33.6216;0.296418;0.288582;0.27477;0.245971;0.278795;0.092403;0.10024;0.114051;0.142851;0.110026
"ITSN1_N";0.464995;0.594368;24.4246;0.442318;0.515075;0.43409;0.454525;0.478969;0.15205;0.079293;0.160278;0.139844;0.1154
"BDNF_N";0.316757;0.326468;3.01937;0.314494;0.349915;0.291439;0.311552;0.316384;0.011974;0.023448;0.035029;0.014915;0.010083
"NR1_N";2.50229;2.40381;-4.01487;2.36805;2.80304;2.30535;2.57722;2.45781;0.035757;0.399234;0.098457;0.173416;0.053998
"NR2A_N";3.99327;4.15544;3.98029;3.70879;4.8998;3.2716;3.94867;4.13749;0.446648;0.744359;0.883841;0.206772;0.017953
"pAKT_N";0.237634;0.195357;-19.5279;0.244017;0.274604;0.192869;0.249884;0.226793;0.048661;0.079248;0.002487;0.054528;0.031437
"pBRAF_N";0.187094;0.159381;-15.9974;0.185704;0.210278;0.162188;0.193739;0.183564;0.026324;0.050897;0.002807;0.034358;0.024183
"pCAMKII_N";3.23144;2.61518;-21.081;3.58858;3.75537;2.88873;2.73189;3.19264;0.973399;1.14019;0.273548;0.116714;0.577464
"pCREB_N";0.221965;0.19177;-14.5962;0.196079;0.244395;0.20898;0.237437;0.222933;0.004309;0.052625;0.01721;0.045667;0.031163
"pELK_N";1.496;1.29017;-14.775;1.32911;1.29931;1.93647;1.6743;1.24082;0.038937;0.009138;0.6463;0.384124;0.049352
"pERK_N";0.329234;0.570379;53.6109;0.332877;0.350805;0.318249;0.307212;0.337027;0.237503;0.219575;0.252131;0.263167;0.233352
"pJNK_N";0.314394;0.278697;-12.0375;0.311972;0.359616;0.265413;0.340929;0.294039;0.033275;0.080919;0.013284;0.062232;0.015342
"PKCA_N";0.288324;0.340429;16.5738;0.318796;0.310576;0.255376;0.281816;0.275058;0.021632;0.029852;0.085053;0.058613;0.065371
"pMEK_N";0.281416;0.235513;-17.7599;0.281284;0.316031;0.234009;0.305155;0.270602;0.045771;0.080518;0.001504;0.069642;0.035089
"pNR1_N";0.896086;0.865513;-3.47103;0.871255;0.972646;0.834099;0.902846;0.899585;0.005742;0.107133;0.031414;0.037333;0.034071
"pNR2A_N";0.802011;0.689587;-15.0743;0.792431;0.945006;0.762518;0.767942;0.742159;0.102844;0.255419;0.072931;0.078355;0.052572
"pNR2B_N";1.70246;1.61895;-5.02854;1.63273;1.91296;1.59738;1.69519;1.67403;0.013777;0.294014;0.021565;0.076236;0.055084
"pPKCAB_N";1.19128;2.0032;50.8327;1.28418;1.29784;1.00912;1.19564;1.16962;0.719019;0.705362;0.994079;0.807558;0.83358
"pRSK_N";0.424918;0.429557;1.0859;0.419441;0.445262;0.380798;0.444087;0.435001;0.010116;0.015704;0.048759;0.01453;0.005444
"AKT_N";0.817059;0.643079;-23.8306;0.824963;0.874651;0.763571;0.798927;0.823182;0.181884;0.231572;0.120492;0.155848;0.180103
"BRAF_N";0.273946;0.320616;15.6991;0.270335;0.2953;0.24625;0.298545;0.259299;0.050281;0.025316;0.074366;0.022072;0.061318
"CAMKII_N";0.3819;0.335323;-12.9884;0.385015;0.421246;0.355179;0.393858;0.354204;0.049692;0.085924;0.019856;0.058536;0.018881
"CREB_N";0.175076;0.161795;-7.88464;0.181561;0.195452;0.152256;0.178348;0.167762;0.019766;0.033656;0.009539;0.016553;0.005967
"ELK_N";1.28455;1.27535;-0.718956;1.12296;1.36048;1.25387;1.18318;1.50226;0.152386;0.085135;0.021476;0.092171;0.226909
"ERK_N";2.48319;2.87204;14.5222;2.07866;2.84178;2.04219;2.69628;2.75705;0.793383;0.030265;0.82985;0.175757;0.114987
"GSK3B_N";1.04067;1.26367;19.3554;0.982971;1.16759;0.887312;1.10613;1.05934;0.280704;0.096089;0.376363;0.15754;0.204339
"JNK_N";0.242407;0.227801;-6.21274;0.234675;0.271925;0.211904;0.254116;0.239417;0.006874;0.044124;0.015897;0.026315;0.011616
"MEK_N";0.277102;0.262806;-5.29597;0.260207;0.308372;0.23113;0.295122;0.290681;0.002599;0.045566;0.031676;0.032317;0.027875
"TRKA_N";0.693321;0.686929;-0.926236;0.616811;0.822902;0.580471;0.762289;0.684131;0.070118;0.135974;0.106458;0.075361;0.002798
